KEY,en,zh_CN
_USERNAME,Username,用户名
_PASSWORD,Password,密码
_CAPTCHA,Captcha,验证码
_RESET_PASSWORD,Reset Password,重设密码
_REGISTER,Register,登记
_LOGIN,Login,登录
_QUEUE_MATCH,Queue Match,队列匹配
_LEADERBOARD,Leaderboard,排行榜
_SET_BUILDER,Set Builder,集生成器
_BROWSE_CARDS,Browse Cards,浏览卡片
_CARD_PACKS,Card Packs,浏览卡片
_TOKENS,Tokens,代币
_SETTINGS,Settings,设置
_CONNECTED,Connected,连接的
_DISCONNECTED,Disconnected,已断开连接
_PROJECT_UPDATES,Project Updates,项目更新
_MUSIC,Music,音乐
_FUNDS,Funds,资金
_ASSETS,Assets,资产
_CARDS,Cards,牌
_PAWN_SETS,Pawn Sets,典当套装
_LIFETIME_STATS,LIFETIME STATS,终身统计数据
_DAILY_STATS,DAILY STATS,每日统计数据
_WINS,Wins,胜利
_LOSSES,Losses,损失
_CONNECTION_FAILED,Connection Failed: Service May Be Down,连接失败：服务可能已关闭
_SERVER_RESPONSE,Server Responded with: ,服务器响应：
_LAST_SYNC,Last Sync: ,上次同步：
_CLIENT_ERROR,CLIENT ERROR: Failed To Make Rest Request,客户端错误：无法发出休息请求
_IN_QUEUE,In Queue,排队中
_LEAVE_QUEUE,Leave Queue,离开队列
_TRIAL_QUEUE,Trial Queue,试用队列
_SELECT_SET,Select Pawn Set,选择典当集
_QUEUE_MATCH,Queue Match,队列匹配
_JOIN_QUEUE,Join Queue,加入队列
_CARD,Card,卡片
_PAWN,Pawn,典当
_PAWN1, Pawn 1,典当 1
_PAWN2, Pawn 2,典当 2
_PAWN3, Pawn 3,典当 3
_PAWN_CARD,Pawn Card:,当卡:
_TALISMAN,Talisman,护符
_WEAPON1,Weapon 1,武器 1
_WEAPON2,Weapon 2,武器 2
_TALISMAN_CARD,Talisman Card,护身符卡:
_WEAPON,Weapon,武器
_WEAPON_CARD1,Weapon Card 1:,武器卡 1:
_WEAPON_CARD2,Weapon Card 2:,武器卡 2:
_DECK,Deck,甲板
_ACTION_DECK,Action Deck,行动套牌
_ABILITY_DECK,Ability Deck,能力套牌
_POWER_DECK,Power Deck,动力甲板
_ACTION,Action,行动
_ABILITY,Ability,能力
_POWER,Power,力量
_ALL_DOMAINS,All Domains,所有域名
_NONE,None,没有任何
_CLOSE,Close,出口
_LEADERBOARD_TITLE,LEADER BOARD,排行榜
_DAILY_SCORES,Daily Scores,每日得分
_WEEKLY_SCORES,Weekly Scores,每周分数
_MONTHLY_SCORES,Monthly Scores,每月分数
_PLAYER_NAME,Player Name,参赛者姓名
_WON,Won,韩元
_LOST,Lost,丢失的
_RATIO,Ratio,比率
_LOGIN_ERROR,Error logging in service may be down,登录时出错，服务可能已关闭
_WEBSOCKET_ERROR,Error Establishing WebSocket Connection. Service May Be Down,建立 WebSocket 连接时出错。服务可能会中断
_SERVICE_DOWN,Connection Failed: Service May Be Down,连接失败：服务可能已关闭
_RATE_LIMIT,Rate limited too many requests,速率限制太多请求
_AUTHENTICATING,Authenticating...,正在验证...
_SELECT_PAWN,Select Pawn,选择典当
_SELECT_WEAPON,Select Weapon,选择武器
_SELECT_TALISMAN,Select Talisman,选择护身符
_BUILD,Build,建造
_EMPTY,Empty,空的
_BACK_TO_MENU,Back To Menu,返回菜单
_NEW_PAWNSET,New Pawnset,新典当套装
_DELETE,Delete,删除
_LOAD,Load,加载
_SAVE,Save,节省
_SAVE_AS_NEW,Save As New,另存为新文件
_SET_NAME,Set Name:,设置名称:
_SAVED_SETS,Saved Sets,已保存的集
_SAVE_UPDATE,Save/Update Pawnsets,保存/更新典当集
_SET_ERROR_WEAPON,ERROR: Pawn And Weapon Types Must Match,错误：典当和武器类型必须匹配
_SET_ERROR_ACTION,ERROR: Action Deck Must Match Pawn/Weapon Type,错误：动作牌组必须匹配棋子/武器类型
_SET_ERROR_ACTION2,ERROR: Action Deck Must Contain Cards Of Same Type,错误：行动牌组必须包含相同类型的牌
_SET_ERROR_NAME,Pawn Set Must Have Name,典当必须有名称
_SET_OVERWRITE1,Save Will Overwrite Existing pawn Set,保存将覆盖现有的典当集
_SET_OVERWRITE2,Click OK To Confirm Or Cancel And Select Save As New,单击 OK 确认或取消并选择另存为新
_SET_SAVE_FAIL1,Failed To Save Too Many Saved Sets,无法保存太多已保存集
